step_time,vehicle_count,queue_length_N,queue_length_S,queue_length_E,queue_length_W,queue_N,queue_S,queue_E,queue_W,avg_speed,flow_rate,time_of_day,day_of_week,current_phase,density
88.0,12,2,2,0,0,2,2,0,0,8.140918942328682,0.0033333333333333335,88.0,0,3,0.12
88.5,12,2,2,0,0,2,2,0,0,8.238466724094918,0.0033333333333333335,88.5,0,3,0.12
89.0,12,2,2,0,0,2,2,0,0,8.174982538477112,0.0033333333333333335,89.0,0,3,0.12
89.5,12,2,2,0,0,2,2,0,0,8.163915484925639,0.0033333333333333335,89.5,0,3,0.12
90.0,12,0,0,0,0,0,0,0,0,8.431870195325137,0.0033333333333333335,90.0,0,0,0.12
90.5,12,0,0,0,0,0,0,0,0,8.6479200994344,0.0033333333333333335,90.5,0,0,0.12
91.0,16,0,0,0,0,0,0,0,0,10.121788586718152,0.0044444444444444444,91.0,0,0,0.16
91.5,16,0,0,0,0,0,0,0,0,10.20523929904104,0.0044444444444444444,91.5,0,0,0.16
92.0,16,0,0,0,0,0,0,0,0,10.297454131155444,0.0044444444444444444,92.0,0,0,0.16
92.5,14,0,0,0,0,0,0,0,0,10.385738122995305,0.0038888888888888888,92.5,0,0,0.14
93.0,14,0,0,0,0,0,0,0,0,10.618523816321872,0.0038888888888888888,93.0,0,0,0.14
93.5,14,0,0,0,0,0,0,0,0,10.890691363882068,0.0038888888888888888,93.5,0,0,0.14
94.0,14,0,0,0,0,0,0,0,0,11.02823321508632,0.0038888888888888888,94.0,0,0,0.14
94.5,14,0,0,0,0,0,0,0,0,11.220586662825058,0.0038888888888888888,94.5,0,0,0.14
95.0,14,0,0,0,0,0,0,0,0,11.444369102908079,0.0038888888888888888,95.0,0,0,0.14
95.5,14,0,0,0,0,0,0,0,0,11.648171103077036,0.0038888888888888888,95.5,0,0,0.14
96.0,14,0,0,0,0,0,0,0,0,11.854328345498132,0.0038888888888888888,96.0,0,0,0.14
96.5,14,0,0,0,0,0,0,0,0,12.025162300993058,0.0038888888888888888,96.5,0,0,0.14
97.0,14,0,0,0,0,0,0,0,0,12.061456382560708,0.0038888888888888888,97.0,0,0,0.14
97.5,14,0,0,0,0,0,0,0,0,12.169768597380227,0.0038888888888888888,97.5,0,0,0.14
98.0,14,0,0,0,0,0,0,0,0,12.097670813974577,0.0038888888888888888,98.0,0,0,0.14
98.5,14,0,0,0,0,0,0,0,0,11.97564175262919,0.0038888888888888888,98.5,0,0,0.14
99.0,14,0,0,0,0,0,0,0,0,11.945467832294327,0.0038888888888888888,99.0,0,0,0.14
99.5,14,0,0,0,0,0,0,0,0,11.905163957508515,0.0038888888888888888,99.5,0,0,0.14
100.0,14,0,0,0,0,0,0,0,0,11.80649895399257,0.0038888888888888888,100.0,0,0,0.14
100.5,14,0,0,0,0,0,0,0,0,11.806598814277596,0.0038888888888888888,100.5,0,0,0.14
101.0,14,0,0,0,1,0,0,0,1,11.598039257854541,0.0038888888888888888,101.0,0,0,0.14
101.5,14,0,0,0,1,0,0,0,1,11.740838547646252,0.0038888888888888888,101.5,0,0,0.14
102.0,14,0,0,0,1,0,0,0,1,11.621214952209414,0.0038888888888888888,102.0,0,0,0.14
102.5,14,0,0,0,1,0,0,0,1,11.392384621836229,0.0038888888888888888,102.5,0,0,0.14
103.0,14,0,0,0,1,0,0,0,1,11.353318520139085,0.0038888888888888888,103.0,0,0,0.14
103.5,14,0,0,0,1,0,0,0,1,11.173061566745973,0.0038888888888888888,103.5,0,0,0.14
104.0,13,0,0,0,1,0,0,0,1,10.778111955306219,0.003611111111111111,104.0,0,0,0.13
104.5,13,0,0,1,1,0,0,1,1,10.699420930765191,0.003611111111111111,104.5,0,0,0.13
105.0,13,0,0,1,1,0,0,1,1,10.695082024024664,0.003611111111111111,105.0,0,0,0.13
105.5,13,0,0,1,1,0,0,1,1,10.76075262523873,0.003611111111111111,105.5,0,0,0.13
106.0,13,0,0,1,1,0,0,1,1,10.692566904949569,0.003611111111111111,106.0,0,0,0.13
106.5,13,0,0,1,1,0,0,1,1,10.707848584341289,0.003611111111111111,106.5,0,0,0.13
107.0,13,0,0,1,1,0,0,1,1,10.716492938630076,0.003611111111111111,107.0,0,0,0.13
107.5,13,0,0,1,1,0,0,1,1,10.770102112489617,0.003611111111111111,107.5,0,0,0.13
108.0,13,0,0,1,1,0,0,1,1,10.671759624586771,0.003611111111111111,108.0,0,0,0.13
108.5,13,0,0,1,1,0,0,1,1,10.688748964285914,0.003611111111111111,108.5,0,0,0.13
109.0,13,0,0,1,1,0,0,1,1,10.675922081158397,0.003611111111111111,109.0,0,0,0.13
109.5,13,0,0,1,1,0,0,1,1,10.733100571118984,0.003611111111111111,109.5,0,0,0.13
110.0,13,0,0,1,1,0,0,1,1,10.678635236896797,0.003611111111111111,110.0,0,0,0.13
110.5,13,0,0,1,1,0,0,1,1,10.688770419608236,0.003611111111111111,110.5,0,0,0.13
111.0,13,0,0,1,1,0,0,1,1,10.685991979588369,0.003611111111111111,111.0,0,0,0.13
111.5,13,0,0,1,1,0,0,1,1,10.64032217558714,0.003611111111111111,111.5,0,0,0.13
112.0,13,0,0,1,1,0,0,1,1,10.700869275760342,0.003611111111111111,112.0,0,0,0.13
112.5,13,0,0,1,1,0,0,1,1,10.71639188341267,0.003611111111111111,112.5,0,0,0.13
113.0,13,0,0,1,1,0,0,1,1,10.628846744191911,0.003611111111111111,113.0,0,0,0.13
113.5,13,0,0,1,1,0,0,1,1,10.687287217372427,0.003611111111111111,113.5,0,0,0.13
114.0,13,0,0,1,1,0,0,1,1,10.714875893208028,0.003611111111111111,114.0,0,0,0.13
114.5,13,0,0,1,1,0,0,1,1,10.73386645556274,0.003611111111111111,114.5,0,0,0.13
115.0,13,0,0,1,1,0,0,1,1,10.686521343584253,0.003611111111111111,115.0,0,0,0.13
115.5,13,0,0,1,1,0,0,1,1,10.645486817948706,0.003611111111111111,115.5,0,0,0.13
116.0,13,0,0,1,1,0,0,1,1,10.653843603930694,0.003611111111111111,116.0,0,0,0.13
116.5,13,0,0,1,1,0,0,1,1,10.670431917443807,0.003611111111111111,116.5,0,0,0.13
117.0,13,0,0,1,1,0,0,1,1,10.722231532615474,0.003611111111111111,117.0,0,0,0.13
117.5,13,0,0,1,1,0,0,1,1,10.691726369474413,0.003611111111111111,117.5,0,0,0.13
118.0,13,0,0,1,1,0,0,1,1,10.668346187687344,0.003611111111111111,118.0,0,0,0.13
118.5,13,0,0,1,1,0,0,1,1,10.68820320109737,0.003611111111111111,118.5,0,0,0.13
119.0,13,0,0,1,1,0,0,1,1,10.686174152611583,0.003611111111111111,119.0,0,0,0.13
119.5,12,0,0,1,1,0,0,1,1,10.67435860789008,0.0033333333333333335,119.5,0,0,0.12
120.0,12,0,0,1,1,0,0,1,1,10.615775595795863,0.0033333333333333335,120.0,0,0,0.12
120.5,12,0,0,1,1,0,0,1,1,10.686679239100927,0.0033333333333333335,120.5,0,0,0.12
121.0,12,0,0,1,1,0,0,1,1,10.693294832012766,0.0033333333333333335,121.0,0,0,0.12
121.5,16,0,0,1,1,0,0,1,1,10.532091110129606,0.0044444444444444444,121.5,0,0,0.16
122.0,16,0,0,1,1,0,0,1,1,10.55290510875615,0.0044444444444444444,122.0,0,0,0.16
122.5,16,0,0,1,1,0,0,1,1,10.70347647481589,0.0044444444444444444,122.5,0,0,0.16
123.0,16,0,0,1,1,0,0,1,1,10.815911191826801,0.0044444444444444444,123.0,0,0,0.16
123.5,16,0,0,1,1,0,0,1,1,10.98272782817416,0.0044444444444444444,123.5,0,0,0.16
124.0,16,0,0,1,1,0,0,1,1,11.079772310820902,0.0044444444444444444,124.0,0,0,0.16
124.5,16,0,0,1,1,0,0,1,1,11.16483753117742,0.0044444444444444444,124.5,0,0,0.16
125.0,16,0,0,1,1,0,0,1,1,11.04478197775412,0.0044444444444444444,125.0,0,0,0.16
125.5,16,0,0,1,1,0,0,1,1,11.066893997341063,0.0044444444444444444,125.5,0,0,0.16
126.0,16,0,0,1,1,0,0,1,1,10.793064454565716,0.0044444444444444444,126.0,0,0,0.16
126.5,16,0,0,1,1,0,0,1,1,10.550393175739952,0.0044444444444444444,126.5,0,0,0.16
127.0,16,0,0,1,1,0,0,1,1,10.18007095462936,0.0044444444444444444,127.0,0,0,0.16
127.5,16,0,0,1,1,0,0,1,1,9.958238348021863,0.0044444444444444444,127.5,0,0,0.16
128.0,16,0,0,1,1,0,0,1,1,9.6501319519678,0.0044444444444444444,128.0,0,0,0.16
128.5,16,0,0,1,1,0,0,1,1,9.480792441932104,0.0044444444444444444,128.5,0,0,0.16
129.0,16,0,0,2,2,0,0,2,2,9.492646703290054,0.0044444444444444444,129.0,0,0,0.16
129.5,16,0,0,2,2,0,0,2,2,9.49300035625139,0.0044444444444444444,129.5,0,0,0.16
